"","1_occultism","2_tarot","3_astral_light","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46"
"61","blazing.star","seal.of.solomon","free.will","cask.of.gunpowder","universal.soul","second.day","obscene.talk","work.on.earth","atrocious.character","history.of.magic","goose.game","love.of.country","symbolical.animal","first.place","sovereign.pontiff","conception.of.science","exalted.hope","white.hair","very.genius","domain.of.enigma","weak.notion","blind.execution","dry.wood","such.manner","beautiful.dream","secret.tribunal","ominous.word","primeval.sage","whole.universe","circle.of.man","collective.life","drive.death","reason.without.science","ideal.royalty","garb.of.superstition","own.authority","natural.tetrad","astral.representation","satirical.power","struggles.with.inertia","series.of.test","perfect.cycle","creative.agent","lamentable.action","unworthy.priest","f.with.hich","invisible.molecule","mysterious.writing","new.light"
"62","great.word","pack.of.card","divine.power","terrible.explosion","ancient.alchemist","celestial.mother","fond.caress","grace.of.god","administration.of.sacrament","power.of.nature","human.life","absolute.principle","hermetic.magic","same.man","religious.man","two.line","undivided.consent","natural.religion","earliest.age","open.war","primeval.sublimity","true.judge","strange.figure","false.notion","whole.gosling","terrible.penalty","rod.of.circe","first.of.cause","attraction.of.death","individual.speedily","secondary.cause","very.member","symbol.of.symbol","elohim.of.israel","unintelligible.language","human.knowledge","very.manifestation","same.means","power.of.voltaire","great.enigma","solar.system","perpetual.movement","natural.analogy","magical.current","field.of.night","most.minute","circle.of.attraction","mutual.assistance","child.of.liberty"
"63","fundamental.principle","hebrew.letter","new.form","perfect.equilibrium","universal.magnet","kabbalistic.dogma","whole.assembly","many.act","sacrament.to.reptiles","such.term","terrible.word","sacred.monument","young.boy","singular.attraction","principle.of.number","direct.proportion","austerity.of.stoicism","imponderable.fluid","hierarchic.constitution","realm.of.magic","french.critic","pontius.pilate","one.moment","deep.peace","own.share","outer.darkness","universal.cry","winter.with.spring","mystical.allegory","bewitchment.by.means","good.work","imaginary.unity","eternal.enigma","sanctuary.of.memphis","hieroglyphic.writing","spirit.of.wine","unwinding.wind","contrary.course","memorial.of.tradition","head.in.order","fertile.power","old.wife","dream.of.prometheus","current.of.table","body.of.god","kabbalistic.woman","impure.spirit","honest.woman","angel.of.liberty"
"64","mystery.of.magic","two.other","domain.of.magic","first.condition","physical.life","sacred.thing","infernal.dance","nine.heaven","permanent.perversion","mysterious.book","occult.sciences","kabbalistic.character","length.of.day","attraction.towards.death","affirmation.of.being","absolute.movement","parade.of.freedom","act.of.religion","hero.of.plutarch","inherent.cause","divine.word","libertine.curd","X150.000.franc","universal.dissolvent","st.peter","physical.love","whole.assembly","age.with.youth","ancient.doctrine","means.of.current","secret.virtue","name.of.philip","silent.monster","sister.of.eve","entire.doctrine","two.friend","extreme.accuracy","dangerous.application","elementary.work","moral.weakness","four.foot","new.life","temple.of.diana","unrecognised.geniuse","instrument.of.thought","fine.wool","ceremonial.operation","law.of.evolution","number.of.force"
"65","occult.tradition","name.of.jehovah","destiny.of.man","condition.of.success","true.elixir","X_divine.comedy","legendary.monster","earth.communicate","hideous.phantom","various.form","worldly.prejudice","western.side","complete.revelation","suicidal.tendency","dogma.in.magic","kabbalistical.conclusion","vicissitude.of.life","spirit.of.intelligence","ultimate.celebrity","hieratic.ambassador","uncreated.light","du.marchd","word.in.white","absolute.sense","vicar.of.god","true.faith","execution.of.jacque","life.with.death","ruin.of.nineveh","outward.demonstration","three.dogma","philip.theophrastus.bombast","invariable.form","antique.box","whole.sequence","white.linen","perpetual.consequence","application.of.magic","traditional.philosophy","ass.of.sterne","active.principle","fundamental.law","generous.character","eccentric.man","raymond.lulle","semi.circular.fashion","operation.with.intent","three.part","intelligent.man"
"66","seven.spirit","same.law","law.of.nature","operations.of.science","limb.of.wax","new.application","phantoms.of.nightmare","first.heaven","cultus.of.darkness","powerful.action","new.truth","inner.rim","art.of.fascination","nervous.repugnance","immensity.equals","fourfold.prophecy","truly.liive","different.combination","blossoming.almond","church.of.swedenborg","occult.versicle","martyr.of.christ","three.line","eternal.truth","mystery.of.necromancy","early.year","breth.in.martyrdom","first.cause","egyptian.sphinx","outward.thing","three.hierarchy","aureolus.paracelsus","universal.mystery","symbol.of.time","absence.of.epic","fortieth.day","reign.of.antichrist","longer.pyre","unknown.bible","presentience.of.immortality","supreme.be","two.woman","form.of.nature","circular.action","transcendent.magic","certain.rite","diabolical.mass","accusation.of.insanity","spiritual.sense"
"67","age.to.age","human.form","two.pole","occult.chemistry","great.adept","lawful.authority","enormous.toad","accusing.word","height.of.paroxysm","incomplete.life","greater.source","vertical.line","sacred.vessel","sufficient.difference","horn.of.isis","universal.religion","pupil.by.silence","abnormal.projection","celestial.army","philosophic.reign","mystery.of.nature","process.of.gaufridi","clockwise.from.top","sanctuary.of.nature","light.of.glory","diable.amoureux","adore.baphomet","contrary.principles","marvellous.painting","human.progress","distinct.class","further.epithet","emblematic.term","ancient.day","magical.sense","warm.bath","christian.prophecy","pyre.for.sorcerer","same.ignorance","appetite.for.life","trench.of.shadow","automatic.movement","physical.love","action.of.initiative","elementary.work","great.use","other.monstrosity","comprehensive.manner","material.sense"
"68","ancient.mythology","four.sign","physical.soul","primeval.mystery","other.life","X_golden.legend","scarabaei.mingle","circle.to.circle","universal.harmony","white.worm","source.of.disquietude","sign.of.antagonism","mystery.of.eleusis","net.result","sovereign.lady","precious.stone","candidate.in.egypt","various.degree","X1.daleth","profession.of.christianity","vital.light","palud.possess","possible.conception","poor.man","three.class","human.ignorance","shameful.salutation","other.evil","inspired.page","pythian.apollo","natural.rank","epithet.of.divine","four.foot","other.overcome","sense.of.dante","three.hour","first.advent","number.of.initiation","language.of.sceptic","vain.parade","creative.desire","jewish.kabbalist","heavenly.body","veritable.assumption","old.conception","use.in.magic","reality.of.goetia","universal.agent","two.personage"
"69","kabbalistic.jew","female.pope","certain.number","necessity.of.evil","paradoxical.solution","fifty.year","giddy.circle","star.to.star","calculation.by.means","four.day","naked.truth","three.sign","divine.thing","additional.evocation","foundation.of.magic","blazing.pentagram","brahman.in.indion","corporeal.life","own.health","roman.chivalry","complete.initiation","own.accuser","old.world","physiological.fact","class.of.soul","eternal.principles","earlier.origin","disciple.of.mane","strange.emblem","great.mission","three.series","great.number","ultimate.reason","dagger.of.psyche","thing.of.science","general.ventura","great.apostasy","magical.operation","philosophical.genius","imperishable.life","ideal.jod","physical.force","moral.quality","opposite.sense","supreme.being","conveyance.of.sorcerer","combination.of.sacrilege","phenomena.of.day","human.bone"
"70","natural.force","solar.cross","occult.force","power.of.demon","advanced.work","four.property","peal.of.laughter","magnetic.fluid","corresponds.to.successe","armorial.bearing","elect.few","upper.point","same.thing","kabbalistic.secret","two.witness","a.man","maceration.of.asceticism","progressive.synthesis","key.of.immortality","gracious.image","very.essence","beautiful.girl","secret.instruction","comte.de","daughter.of.adam","embryonic.life","tribunal.of.pope","singular.wisdom","book.of.alchemy","power.of.king","progress.of.spirit","visible.light","final.message","apple.of.eve","flower.of.mankind","ten.month","universal.death","hermetic.operation","opaque.stone","kind.of.self","father.of.cain","genius.of.france","upper.bar","great.action","god.of.st","kindred.act","incarnation.of.death","one.extremity","great.agent"
