"","1_occultism","2_tarot","3_astral_light","4_magnetic_sleep","5_spiritualism","6_progress","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17","Other_18","Other_19","Other_20","Other_21","Other_22","Other_23","Other_24","Other_25","Other_26","Other_27","Other_28","Other_29","Other_30","Other_31","Other_32","Other_33","Other_34","Other_35","Other_36","Other_37","Other_38","Other_39","Other_40","Other_41","Other_42","Other_43","Other_44","Other_45","Other_46","Other_47","Other_48","Other_49","Other_50"
"11","alchemy","kabbalistic.alphabet","law.of.nature","state.of.somnambulism","future.life","law.of.progression","effect.of.animal.magnetism","peace.on.earth","natural.religion","subsequent.generation","god.hath","ray.of.light","de.raiz","important.truth","tree.of.knowledge","tradition","earth.v","principle.of.intelligence","interior.principle","vegetable.world","lord.conway","world.of.mankind","female.form","sectarian.usurpation","divine.sun","various.portion","part.of.the.body","good.spirit","creation.of.man","blind.man","higher.class","man.on.earth","one.particle","father.girard","such.soul","social.condition","human.mind","spontaneous.breathings","lower.part","specific.degree","divine.mind","line.of.demarcation","same.cause","new.science","progressive.development","material.form","left.eye","hugh.de","true.god","book.of.the.new.testament","other.person","free.will","two.man","kind.of.death","greater.number","first.order"
"12","jesus.christ","young.man","two.force","sitting","higher.spirit","original.cause","two.paths","good.will","white.light","first.series","other.nation","other.light","very.essence","same.subject","fruit.of.the.tree","bad.angel","future.life","general.term","form.of.man","mineral.world","magical.rod","great.temple","one.day","direct.opposition","more.light","one.half","name.of.the.person","one.word","progression","physical.life","old.man","ten.day","concentric.circle","de.raiz","new.invention","human.race","peace.on.earth","other.element","next.day","monument.of.ignorance","sense.of.justice","spiritual.power","deep.sleep","discovery.of.animal","whole.mass","clairvoyance","whole.body","human.being","moral.death","other.thing","general.appearance","true.god","application.of.animal","one.night","future.state","material.eye"
"13","st.john","tarot.card","old.serpent","few.minute","present.life","spiritual.world","absolute.science","will.to.man","unique.force","like.manner","conjugal.affection","principle.of.animal","creative.power","immutable.law","spirit.world","new.being","communication.of.thought","new.era","suggestion.of.love","vegetable.creation","little.importance","magical.calendar","name.of.god","moral.principle","portion.of.the.earth","system.of.practice","religious.belief","two.o.clock","accumulation.of.particle","work.of.creation","general.impression","same.family","sixth.circle","bad.action","great.food","nineteenth.century","inhabitant.of.the.earth","composition.of.coal","young.man","visible.effect","absolute.knowledge","object.of.faith","wisdom.of.god","discovery.of.animal.magnetism","higher.form","free.will","sick.person","glass.of.sugar","idea.of.god","divine.power","manifestation.of.nature","pure.spirit","application.of.animal.magnetism","great.weight","eternal.law","immortality.of.the.soul"
"14","occultism","arcana.of.the.tarot","elementary.spirit","magnetic.somnambulism","spiritist","state.of.perfection","science.of.nature","first.sphere","normal.condition","terrestrial.life","thing.in.the.universe","principle.of.animal.magnetism","many.tribe","such.thing","same.word","superhuman.being","long.time","new.testament","free.will","interior.quality","high.degree","do.magnetisme","good.sense","love.of.truth","side.of.the.earth","distribution.of.labor","first.person","dead.man","perfect.harmony","whole.form","other.means","middle.ag","elliptic.orbit","one.thing","such.matter","mind.of.mankind","universal.love","present.period","spiritual.world","physical.organ","subsequent.generation","existence.of.the.soul","certain.degree","public.hospital","many.portion","spiritual.sphere","great.mystery","higher.sphere","social.order","hundred.year","external.circumstance","personification.of.evil","many.disease","law.of.nature","order.of.nature","good.faith"
"15","first.time","book.of.thoth","magical.agent","few.day","bad.spirit","natural.law","free.judge","human.existence","little.angel","many.age","universal.equilibrium","same.sort","social.condition","unity.of.action","first.part","eternal.fire","one.day","possible.means","important.truth","external.form","own.house","such.condition","world.of.spirit","mental.power","western.hemisphere","one.day","positive.principle","same.time","analogical.reasoning","same.thing","branch.of.knowledge","one.evening","period.of.time","spiritual.life","whole.life","condition.of.the.race","social.unity","entire.change","communication.of.thought","great.focus","moral.reformer","single.moment","several.work","new.commission","vegetable.kingdom","like.manner","human.wisdom","new.truth","philosophical.cross","constitution.of.man","such.appearance","mesmeric.influence","apparent.death","first.satellite","soul.after.death","eighteen.month"
"16","occult.philosophy","two.pillars","material.body","magnetic.power","natural.law","sphere.of.existence","one.person","mind.of.the.world","one.side","whole.race","absolute.affirmation","existence.of.demon","own.device","human.race","idle.word","hieroglyphic.sign","few.day","old.age","human.soul","form.in.the.vegetable","own.mind","great.reformer","tradition","various.portion","caribbean.sea","hundred.year","vital.action","name.of.god","one.world","existence.of.god","false.prophet","different.time","eternal.sun","two.year","weakness.of.mind","various.nation","new.heaven","living.soul","several.time","diastolic.motion","thousand.year","three.person","sufficient.evidence","truth.of.animal","other.substance","spiritual.life","o.clock.in.the.evening","external.evidence","third.person","whole.world","social.happiness","freedom.of.conscience","seven.colour","mean.distance","existence.of.a.world","first.place"
"17","whole.world","sacred.name","human.body","wake.state","same.way","inherent.property","clairvoyance","divine.origin","eugene.sue","unrighteous.thought","analogy.of.opposite","right.side","like.manner","divine.principle","nature.of.thing","morning.star","human.form","mental.nature","external.thing","form.in.the.animal","high.state","vicarious.atonement","drop.of.water","practical.utility","aboriginal.inhabitant","birth.of.christ","serious.surface","same.thing","thousand.miles","different.way","sphere.of.thought","other.being","universal.motion","alchemy","mere.illusion","progress","new.earth","same.process","six.year","same.spirit","tradition","human.system","few.seconds","truth.of.animal.magnetism","whole.earth","progress","material.pleasure","surface.of.the.earth","ten.commandment","primitive.history","general.principles","admirable.symbol","human.liberty","great.portion","orbit.of.life","fifteen.year"
"18","universal.medicine","sign.of.the.zodiac","human.life","waking.state","spiritualist","human.race","political.event","useful.application","other.hand","theological.speculator","human.being","second.ternary","ether","hieroglyphic.meaning","physical.organ","fabre.d.olivet","good.angel","human.race","solar.system","other.form","second.book","third.sphere","other.side","zend.avesta","grand.copht","tree.of.evil","loss.of.power","o.clock.in.the.morning","two.way","principle.of.man","power.of.the.soul","same.dream","system.of.worlds","leather.cap","pure.spirit","face.of.the.earth","higher.sphere","spiritual.sphere","last.night","same.desire","present.time","ultimate.design","such.spirit","medical.man","present.era","external.world","sovereign.power","various.portion","many.hour","internal.evidence","immutable.law","supreme.being","serpent.circle","certain.kind","unhappy.spirit","two.being"
"19","middle.ag","universal.key","soul.of.the.earth","pit.of.the.stomach","superior.spirit","external.appearance","great.number","incipient.stage","principle.of.organic.life","eastern.tribe","free.will","same.manner","natural.development","solar.system","physical.being","own.image","world.of.cause","spiritual.kingdom","sixth.day","higher.degree","third.sphere","positive.evidence","one.o.clock","element.of.the.spirit","most.part","great.sun","chain.of.sympathy","seven.day","such.body","degree.of.development","exclusive.privilege","very.fact","cometary.body","occult.magnetism","intellectual.development","whole.world","state.of.thing","various.part","blue.eye","other.channel","general.mind","material.element","fear.of.death","history.of.animal","various.part","sphere.of.association","same.night","thing.in.nature","dawn.of.time","higher.degree","many.part","same.kind","long.time","mere.fact","eternal.death","class.of.society"
"20","one.hand","four.figure","de.mirville","same.effect","point.of.view","natural.result","state.of.society","new.testament","special.organ","subordinate.spirit","human.intelligence","material.proof","various.portion","degree.of.refinement","knowledge.of.good","external.appearance","ten.year","spiritual.qualifications","outward.form","same.time","power.of.language","state.of.sleep","bright.form","like.manner","such.knowledge","corresponding.effect","power.of.motion","two.friend","work.on.magnetism","long.period","piece.of.bread","effect.of.the.imagination","active.agent","very.form","creation.of.the.world","human.mind","law.of.association","form.of.all.thing","fifty.year","distant.point","mode.of.expression","one.god","more.light","history.of.animal.magnetism","other.portion","natural.death","knocking.on.the.wall","central.america","single.figure","proper.investigation","various.departments","four.hour","same.thing","intellectual.capacity","many.other","multiple.life"
