"","1_the_astral","2_astral_light","3_kabbalistic_tarot","4_magnetic_sleep","5_seance","6_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6"
"20","divine.wisdom","magnetic.fluid","four.season","magnetic.power","nervous.system","fourth.round","external.form","human.being","hebrew.letter","immortality.of.the.soul","present.day","progress"
"21","heavenly.man","night.of.brahmâ","vincent.de","evil.spirit","few.question","material.body","human.organization","human.family","great.man","magical.operation","christian.religion","one.day"
"22","ten.sephiroth","primordial.matter","sphere.of.sensation","magnetic.fluid","communication.of.thought","modern.science","present.day","social.world","own.part","material.body","period.of.time","soul.of.man"
"23","seven.star","active.force","pope.joan","hebrew.letter","thirty.year","higher.plane","lower.form","old.testament","middle.ag","seven.spirit","past.life","same.order"
"24","rig.veda","second.sight","X1st.arcanum","waking.state","many.other","root..race","great.center","manifestation","true.religion","old.serpent","moral.world","creation.of.the.world"
"25","catholic.church","vital.principle","common.sense","several.time","five.year","material.life","degree.of.development","whole.race","manifestation","true.science","divine.instruction","certain.case"
"26","human.life","primordial.substance","few.word","world.of.spirit","many.person","free.will","great.mass","face.of.the.earth","perpetual.motion","same.reason","many.year","son.of.man"
"27","supreme.god","religious.system","hebrew.letter","year.of.age","next.day","law.of.nature","law.of.nature","mind.of.man","other.hand","middle.ag","many.thing","max.müller"
"28","divine.name","universal.soul","letter.of.the.alphabet","few.minute","little.girl","higher.spirit","great.sun","law.of.nature","jesus.christ","great.master","other.nation","first.one"
"29","chief.adept","central.sun","first.place","short.time","physical.manifestation","other.word","higher.form","nation.of.the.earth","supreme.reason","human.being","mode.of.expression","such.thing"
"30","divine.word","occult.doctrine","right.hand","other.person","short.time","esoteric.teaching","progress","poor.man","sign.of.the.zodiac","occult.science","long.time","two.kind"
"31","sacred.book","magical.agent","highest.reason","magnetic.action","great.deal","human.life","progressive.development","early.inhabitant","force.of.nature","first.place","birth.of.christ","four.colour"
"32","church.fathers","property.of.matter","good.faith","wake.state","man.of.science","future.life","various.part","same.time","queen.of.heaven","human.form","soft.bark","whole.thing"
"33","other.nation","occult.sciences","royale.de","one.time","last.time","corporeal.life","positive.power","hundred.year","key.of.solomon","transcendent.magic","moral.teaching","seven.form"
"34","vishnu.purâna","exact.science","card.of.the.tarot","same.way","other.spirit","physical.man","inhabitant.of.the.earth","mental.faculty","secret.doctrine","thousand.time","catherine.théot","thousand.year"
"35","later.period","one.element","grand.hierophant","same.thing","human.being","volume.ii","immutable.law","direct.opposition","first.time","many.century","human.life","primitive.man"
"36","esoteric.meaning","heavenly.body","temporal.power","such.case","twelve.year","roman.catholic","present.era","world.of.mankind","other.word","mother.of.god","bosom.of.parabrahman","six.day"
"37","holy.ghost","seven.ray","key.of.the.tarot","few.day","two.day","new.life","lower.order","one.thing","eighteenth.century","jesus.christ","great.sea","six.thousand.year"
"38","divine.spirit","breath.of.life","italian.tarot","several.year","two.year","spiritual.soul","animal.world","jewish.nation","present.day","magical.power","first.book","human.thought"
"39","fiery.serpents","one.hand","oswald.wirth","same.effect","many.year","same.way","spiritual.sphere","whole.earth","great.arcanum","magical.doctrine","vast.number","kabbalistic.tree"
"40","astral.projection","one.day","astral.light","natural.somnambulism","fifty.year","other.hand","other.form","divine.principle","wise.man","blazing.star","hindû.zodiac","higher.level"
"41","religious.philosophy","great.man","other.way","many.case","first.place","universal.mind","great.body","various.nation","thirty.year","seal.of.solomon","great.reformer","polar.bear"
"42","esoteric.teaching","modern.physic","physical.brain","white.spirit","several.time","pure.spirit","interior.quality","distributive.justice","two.force","occult.medicine","new.existence","esoteric.truth"
"43","ancient.mystery","state.of.matter","great.number","astral.light","human.form","present.life","general.law","son.of.god","two.child","two.point","number.of.people","higher.plane"
"44","son.of.god","universal.agent","four.corner","great.number","name.of.god","natural.law","present.period","state.of.thing","eternal.life","golden.egg","inferior.spirit","basic.idea"
"45","seven.region","occult.teaching","living.being","three.time","future.life","occult.teaching","first.form","central.america","universal.equilibrium","single.word","historical.account","divine.man"
"46","war.in.heaven","source.of.measure","foolish.man","young.man","other.person","human.nature","other.body","like.manner","transcendental.magic","two.pole","superficial.evidence","sacred.animal"
"47","three.word","eastern.occultist","elemental.force","other.time","twenty.year","divine.law","like.manner","peace.on.earth","human.mind","natural.law","other.book","seven.light"
"48","feminine.principle","holy.spirit","four.hour","three.day","existence.of.the.soul","spirit.world","sphere.of.existence","nature.of.man","tree.of.life","temple.of.solomon","divine.intention","adam.kadmon"
"49","seven.head","creative.force","young.man","human.race","last.night","man.of.science","other.substance","many.ag","old.world","three.worlds","book.of.the.new.testament","million.of.year"
"50","new.testament","neutral.centre","mortal.body","spiritual.eye","five.minute","planetary.chain","whole.mass","form.of.expression","public.opinion","science.of.nature","minor.arcana","present.race"
"51","early.christians","first.matter","large.number","six.month","gray.hair","occult.science","planetary.system","divine.love","de.mirville","good.work","X2nd.septenary","great.city"
"52","lunar.month","mrespect.crooke","brown.hair","other.world","lower.part","spiritual.ego","material.universe","condition.of.the.world","first.part","good.faith","X4.letter","X4.320.000.000.year"
"53","numerical.value","solid.body","two.woman","second.sight","forty.year","one.thing","human.body","great.extent","young.man","basil.valentine","secret.doctrine","whole.life"
